...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
　　未分配利润,37.659999999999997,483.93,554.29999999999995,689.96,1038.1300000000001,2630.1,11891.2,17216.07,25258.53,30188.12,48986,63037,78157,90670
　　一般风险准备,NA,NA,NA,3300,4790,6400,6400,6900,9500,18700,23050,29450,36858,45924
　　归属于母公司所有者权益合计,7960.48,12010.92,13510.3,15969.46,24706.13,28297.87,41679.440000000002,67953.03,122996.34,148891.23000000001,177497,204375,260169,315170
　　少数股东权益,NA,NA,NA,NA,NA,NA,22.36,134.41999999999999,283.51,651.54,2162,2852,3116,3430
　　所有者权益合计,7960.48,12010.92,13510.3,15969.46,24706.13,28297.87,41701.800000000003,68087.45,123279.85,149542.78,179659,207227,263285,318600
负债及股东权益总计,279300.71999999997,371056.7,455532.29,573522.67000000004,689344.15,914980.35,1309425.44,1622717.96,2191410.77,2684693.69,3145707,3680125,4195924,5044352
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2003-03-29,2004-02-27,2005-02-26,2007-03-24,2007-03-24,2008-02-28,2009-04-10,2010-04-07,2011-03-30,2012-03-16,2013-03-14,2014-03-20,2015-03-19,2016-04-07
数据来源,WIND调整计算值,WIND调整计算值,WIND调整计算值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
