...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281.89,1746.09
　　盈余公积金,44.88,70.31,125.64,180.72,240.18,331.13,331.13,631.03,861.38,1180.0899999999999,1578.09,1578.09,2025.52,2582.1799999999998
　　未分配利润,-141.53,2.5499999999999998,305.36,305.82,640.73,1338.6,2169.96,2286.44,3198.85,5013.55,6132.28,7947.45,10469.950000000001,12634.15
　　一般风险准备,NA,NA,10.74,322.39,426.1,426.1,499.81,1076.1400000000001,1509.6,1993.9,3599.09,5075.3900000000003,6348.38,8945.11
　　归属于母公司所有者权益合计,1232.58,1317.62,1665.03,2104.27,2611.14,9942.4599999999991,11295.59,12038.95,18833.740000000002,21643.759999999998,24618.33,26589.99,32448.91,52026.52
　　少数股东权益,NA,NA,NA,NA,NA,NA,50,129.25,136.66,160.5,192.43,266.14,334.87,387.4
　　所有者权益合计,1232.58,1317.62,1665.03,2104.27,2611.14,9942.4599999999991,11345.59,12168.21,18970.400000000001,21804.27,24810.75,26856.13,32783.79,52413.919999999998
负债及股东权益总计,26258.58,29582.44,38271.660000000003,48593.27,57967.3,76063.710000000006,93706.07,149565.82,221492.6,281791.69,343792.15,434057.29,573150.18000000005,805020.24
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2005-11-30,2005-11-30,2007-07-04,2007-07-04,2007-07-04,2008-03-31,2009-04-30,2010-03-31,2011-04-29,2012-04-28,2013-04-26,2014-04-30,2015-04-28,2016-04-28
数据来源,WIND调整计算值,WIND调整计算值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
