...1,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),0,0,0,0,NA,NA,NA,NA,NA
资产总计,36740.550000000003,43040.05,62578.879999999997,111766.46,137942.70000000001,162382.24,178221.75,169089.63,183142.08
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1205.57,2622.82,2489.0100000000002,14328.73,34216.839999999997,20329.13,21942.31,11605.52,6117.74
　　向中央银行借款,NA,NA,NA,NA,NA,50,30,700,1520
　　拆入资金,32.39,31.01,28.43,28.43,506.51,6.51,223.46,961.64,157.04
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,5662.53,2911.54
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,984,3915.71,4028.65,60,10336.540000000001,5531.78,2375.9,15385.81
　　吸收存款,31297.72,34573.46,50776.53,85616.25,91727.92,108100.97,125615.23,114212.49,122609.60000000001
NA,32535.68,38211.29,57209.68,104002.06,126511.26999999999,NA,NA,NA,NA
　　应付职工薪酬,79.89,83.22,74.41,91.01,165.98,95.37,148.82,142.27000000000001,170.02
　　应交税费,52.54,65.13,97.86,81.05,342.24,411.22,285.61,254.68,477.6
　　应付利息,149.19,240.02,214.29,287.17,715.72,1191.2,1430.4,1612.33,1516.44
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,6880.39,6884.2,11790.66,14567.98
　　递延所得税负债,NA,34.28,NA,826.82,1.59,NA,NA,13.1,95.1
　　预计负债,NA,NA,NA,NA,0.5,NA,NA,NA,NA
　　其他负债,983.36,962.36,1213.58,NA,2057.09,3030.4,2698.64,5129.97,1730.55
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),0,NA,NA,0,NA,NA,NA,NA,NA
　　负债合计,33800.660000000003,39596.29,58809.82,105288.1,129794.38,150431.74,164790.45000000001,154461.1,167259.42000000001
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2247.85,2247.85,2247.85,3306.85,3517.85,4127.8500000000004,4127.8500000000004,4127.8500000000004,4127.8500000000004
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,453.71,614.73,509.94,1235.1199999999999,1513.07,3221.63,3054.43,3258.59,3258.59
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,8.14,179.69
　　盈余公积金,36.82,73.209999999999994,120.71,226.71,377.63,558.84,765.14,911.55,1059.54
　　未分配利润,101.51,337.98,584.22,1270.51,2008.54,2933.27,4118.5200000000004,4560.51,4987.32
　　一般风险准备,100,170,306.35000000000002,439.18,707.18,1060.92,1313.88,1702.5,2202.6999999999998
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),0,NA,NA,0,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,2939.89,3443.75,3769.06,6478.36,8124.26,11902.51,13379.81,14569.15,15815.69
　　少数股东权益,NA,NA,NA,NA,24.06,47.99,51.49,59.38,66.97
　　所有者权益合计,2939.89,3443.75,3769.06,6478.36,8148.32,11950.5,13431.3,14628.54,15882.66
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),0,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,36740.550000000003,43040.05,62578.879999999997,111766.46,137942.70000000001,162382.24,178221.75,169089.63,183142.08
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA,NA,NA
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2012-03-08,2012-03-08,2012-03-08,2011-06-29,2012-05-18,2013-04-25,2014-04-24,2015-04-21,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
