keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASEoil	16.0	0.0	0.0	2015	-1	-1	0	3.0	0	5
@PHRASEcommunity structure	3.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEcommercial bank	2.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEcentral bank	2.0	0.0	0.0	2011	-1	-1	0	0.0	0	9
@PHRASEilliquidity	8.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEeuropean stock market	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEchao	2.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEmoney	8.0	0.0	0.0	2010	-1	-1	0	8.0	0	10
@PHRASEcomplex system	13.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEshadow banking	17.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEcredit crisis	4.0	0.0	0.0	2009	-1	-1	0	7.0	0	11
@PHRASEdecomposition	13.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEbrics	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASErating	7.0	0.0	0.0	2013	-1	-1	0	5.0	0	7
@PHRASEstability	92.0	0.0	0.0	2013	-1	-1	0	4.0	0	7
@PHRASEe44	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEclimate	2.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEautoregressive conditional heteroskedasticity	12.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEuncertainty	36.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEmonetary policy	75.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEdistance	5.0	0.0	0.0	2019	-1	-1	0	0.0	0	1
@PHRASEequilibrium	52.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASErun	20.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEcurrency	8.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEpredictability	10.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEconsolidation	10.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEinternational equity market	5.0	0.0	0.0	2009	-1	-1	0	3.0	0	11
@PHRASEheterogeneity	4.0	0.0	0.0	2019	-1	-1	0	0.0	0	1
@PHRASEsimulation	14.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEasset price	11.0	0.0	0.0	2010	-1	-1	0	5.0	0	10
@PHRASEask	2.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEbalance sheet	3.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEconventional	1.0	0.0	0.0	2008	-1	-1	0	0.0	0	12
@PHRASEprice	78.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEpower law	3.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEfinancial distress	14.0	0.0	0.0	2010	-1	-1	0	5.0	0	10
@PHRASEdistribution	21.0	0.0	0.0	2006	-1	-1	0	9.0	0	14
@PHRASEdynamic conditional correlation	28.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEagency cost	4.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEinsurance industry	3.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEinequality	3.0	0.0	0.0	2012	-1	-1	0	0.0	0	8
@PHRASEmovement	5.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEmacroprudential policy	36.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEemergingmarket	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEbond	33.0	0.0	0.0	2009	-1	-1	0	6.0	0	11
@PHRASEasset allocation	9.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEcascade	13.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEhawkes processe	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEreturn	158.0	0.0	0.0	2009	-1	-1	0	8.0	0	11
@PHRASEus	41.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEmacroprudential	7.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEfinancial system	8.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEup call contagion	5.0	0.0	0.0	2017	-1	-1	0	0.0	0	3
@PHRASEbanking sector	2.0	0.0	0.0	2013	-1	-1	0	0.0	0	7
@PHRASEdownside risk	7.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEmarket power	7.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEneural network	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASErisk taking	27.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEdiversification	88.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEanalytic hierarchy process (ahp)	1.0	0.0	0.0	2008	-1	-1	0	0.0	0	12
@PHRASEcapitalism	3.0	0.0	0.0	2014	-1	-1	0	0.0	0	6
@PHRASEvariance decomposition	9.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEpower	14.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASErollover risk	6.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEnews	8.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEperformance	100.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEderivative	19.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEc58	3.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEtime	17.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEcrash	2.0	0.0	0.0	2012	-1	-1	0	0.0	0	8
@PHRASEdiscipline	10.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEcapital structure	13.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEpure	4.0	0.0	0.0	2017	-1	-1	0	0.0	0	3
@PHRASEunit root	38.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEproductivity	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEglobal economy	2.0	0.0	0.0	2010	-1	-1	0	0.0	0	10
@PHRASErealized volatility	4.0	0.0	0.0	2015	-1	-1	0	0.0	0	5
@PHRASEheteroskedasticity	6.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEeuro	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEbasel	3.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEcross section	18.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEregression	29.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEcapital buffer	3.0	0.0	0.0	2017	-1	-1	0	0.0	0	3
@PHRASEfinancial intermediation	23.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEenvironmental management	1.0	0.0	0.0	2007	-1	-1	0	0.0	0	13
@PHRASEdistress	7.0	0.0	0.0	2010	-1	-1	0	8.0	0	10
@PHRASEtail dependence	21.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEquantile regression	17.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEprivate	6.0	0.0	0.0	2012	-1	-1	0	3.0	0	8
@PHRASEquality	6.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEdiffusion	13.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEagricultural insurance	1.0	0.0	0.0	2008	-1	-1	0	0.0	0	12
@PHRASEcybernetic multilevel controlsystem	1.0	0.0	0.0	2009	-1	-1	0	0.0	0	11
@PHRASEdefault	68.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASErisk premia	5.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEbank	141.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEfirm	44.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEcapital requirement	26.0	0.0	0.0	2011	-1	-1	0	5.0	0	9
@PHRASEsafe haven	3.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEglobalization	10.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEriskmanagement	6.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEfinancialcrisis	9.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEbasel iii	23.0	0.0	0.0	2013	-1	-1	0	3.0	0	7
@PHRASEvalue-at-risk	15.0	0.0	0.0	2013	-1	-1	0	2.0	0	7
@PHRASEgarch	13.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEportfolio optimization	5.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEcore-periphery	3.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEbankruptcy prediction	3.0	0.0	0.0	2019	-1	-1	0	0.0	0	1
@PHRASEfinancial integration	23.0	0.0	0.0	2010	-1	-1	0	5.0	0	10
@PHRASEcycle	15.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEblockchain	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEeuro area	17.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEmarginal expected shortfall	11.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEexpected shortfall	17.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASElimit	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEfintech	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEconventional stock market	3.0	0.0	0.0	2017	-1	-1	0	0.0	0	3
@PHRASEcorrelated default	3.0	0.0	0.0	2015	-1	-1	0	0.0	0	5
@PHRASEdefaultable security	1.0	0.0	0.0	2007	-1	-1	0	0.0	0	13
@PHRASEyield spread	5.0	0.0	0.0	2017	-1	-1	0	0.0	0	3
@PHRASEintegration	62.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEorganization	4.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEchina	19.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEeurope	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEbanking network	8.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEfinancial stress index	6.0	0.0	0.0	2012	-1	-1	0	2.0	0	8
@PHRASEasymptoticdependence	1.0	0.0	0.0	2006	-1	-1	0	0.0	0	14
@PHRASEsovereign risk	30.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEstress test	13.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEmarket linkage	3.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEcollateral	10.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEadverse selection	2.0	0.0	0.0	2012	-1	-1	0	0.0	0	8
@PHRASEchinese stock market	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEinformation content	4.0	0.0	0.0	2015	-1	-1	0	0.0	0	5
@PHRASEeuropean debt crisis	7.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEdisclosure	8.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEprudential regulation	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEcontract	3.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEanticoagulation	2.0	0.0	0.0	2013	-1	-1	0	0.0	0	7
@PHRASEstructural model	4.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEexuberance	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEinflation	6.0	0.0	0.0	2010	-1	-1	0	5.0	0	10
@PHRASEspread	55.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEindex	19.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEhierarchical structure	3.0	0.0	0.0	2014	-1	-1	0	0.0	0	6
@PHRASEcapital control	2.0	0.0	0.0	2012	-1	-1	0	0.0	0	8
@PHRASEshortfall	7.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEovernight money market	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEsystemic risk measure	4.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEhedge fund	12.0	0.0	0.0	2010	-1	-1	0	5.0	0	10
@PHRASEdata warehouse	1.0	0.0	0.0	2009	-1	-1	0	0.0	0	11
@PHRASEbanking crise	33.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEdefault contagion	3.0	0.0	0.0	2019	-1	-1	0	0.0	0	1
@PHRASEcorporate debt	7.0	0.0	0.0	2007	-1	-1	0	7.0	0	13
@PHRASEstock price	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEdefault risk	29.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEcoordination	4.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEjapan	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEvariance	13.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEspillover	65.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEchoice	7.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEvalue at risk	24.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEmacroprudential regulation	21.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEcat bond	1.0	0.0	0.0	2006	-1	-1	0	0.0	0	14
@PHRASEcreditrisk	3.0	0.0	0.0	2014	-1	-1	0	0.0	0	6
@PHRASEcontagion	722.0	0.0	0.0	2006	-1	-1	0	10.0	0	14
@PHRASEcluster analysis	3.0	0.0	0.0	2014	-1	-1	0	0.0	0	6
@PHRASEefficiency	33.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEbenefit function	1.0	0.0	0.0	2009	-1	-1	0	0.0	0	11
@PHRASEcreate	1.0	0.0	0.0	2007	-1	-1	0	0.0	0	13
@PHRASEinterdependency	5.0	0.0	0.0	2018	-1	-1	0	1.0	0	2
@PHRASEratio	3.0	0.0	0.0	2015	-1	-1	0	0.0	0	5
@PHRASEgrowth	30.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEglobal financial crisis	66.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEpayment	2.0	0.0	0.0	2011	-1	-1	0	0.0	0	9
@PHRASEcorrelation	18.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEcomponent	6.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEmultivariate model	8.0	0.0	0.0	2014	-1	-1	0	4.0	0	6
@PHRASEfinancial institution	35.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEstresstesting	1.0	0.0	0.0	2020	-1	-1	0	0.0	0	0
@PHRASEdebtrank	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEskewness	8.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEcrude oil	11.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEcrude oil market	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEcompensation	3.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEasymmetric volatility	7.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEinterconnectedness	29.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEdepression	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEbank run	26.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEoption	3.0	0.0	0.0	2012	-1	-1	0	0.0	0	8
@PHRASEsupervision	20.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEtoo big to fail	4.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEbanking crisis	10.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEfinancial regulation	28.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEco-movement	6.0	0.0	0.0	2012	-1	-1	0	6.0	0	8
@PHRASEworld	6.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEvar	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEcopula approach	6.0	0.0	0.0	2016	-1	-1	0	2.0	0	4
@PHRASEprocyclicality	4.0	0.0	0.0	2014	-1	-1	0	1.0	0	6
@PHRASEbitcoin	3.0	0.0	0.0	2019	-1	-1	0	0.0	0	1
@PHRASEbehavior	36.0	0.0	0.0	2007	-1	-1	0	9.0	0	13
@PHRASEccp	3.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEcentrality	24.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEdebt crisis	28.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEfinancialstability	7.0	0.0	0.0	2014	-1	-1	0	2.0	0	6
@PHRASEadoption	3.0	0.0	0.0	2017	-1	-1	0	0.0	0	3
@PHRASEantithrombotic therapy	1.0	0.0	0.0	2006	-1	-1	0	0.0	0	14
@PHRASEleverage	47.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEsovereign debt crisis	29.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEentropy	8.0	0.0	0.0	2015	-1	-1	0	1.0	0	5
@PHRASEor in banking	1.0	0.0	0.0	2020	-1	-1	0	0.0	0	0
@PHRASEbanking system	18.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEmerger	10.0	0.0	0.0	2010	-1	-1	0	3.0	0	10
@PHRASEdynamic correlation	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEcds spread	23.0	0.0	0.0	2013	-1	-1	0	4.0	0	7
@PHRASEfederal funds market	5.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEcentral counterparty	7.0	0.0	0.0	2016	-1	-1	0	0.0	0	4
@PHRASEcapital regulation	11.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEstock	54.0	0.0	0.0	2011	-1	-1	0	6.0	0	9
@PHRASEstock market	104.0	0.0	0.0	2009	-1	-1	0	8.0	0	11
@PHRASEbank risk	24.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEcatastrophe insurance	1.0	0.0	0.0	2006	-1	-1	0	0.0	0	14
@PHRASEfinancial market	35.0	0.0	0.0	2014	-1	-1	0	3.0	0	6
@PHRASEliquidity risk	28.0	0.0	0.0	2010	-1	-1	0	6.0	0	10
@PHRASEcointegration	28.0	0.0	0.0	2009	-1	-1	0	8.0	0	11
@PHRASEemerging stock market	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEcurrency crise	12.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEliquidation	1.0	0.0	0.0	2020	-1	-1	0	0.0	0	0
@PHRASEcomonotonicity	2.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEdependence	73.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEinnovation	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEcontingent claims analysis	3.0	0.0	0.0	2012	-1	-1	0	1.0	0	8
@PHRASEcapital market	1.0	0.0	0.0	2007	-1	-1	0	0.0	0	13
@PHRASEemerging market	45.0	0.0	0.0	2012	-1	-1	0	5.0	0	8
@PHRASEafrica	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEliquidity risk management	1.0	0.0	0.0	2020	-1	-1	0	0.0	0	0
@PHRASEeconometric model	2.0	0.0	0.0	2010	-1	-1	0	1.0	0	10
@PHRASEsystematic risk	13.0	0.0	0.0	2013	-1	-1	0	3.0	0	7
@PHRASEhealth	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEearnings management	5.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEfinancialnetwork	4.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEbusiness	9.0	0.0	0.0	2015	-1	-1	0	2.0	0	5
@PHRASEdcc	4.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEnetwork model	22.0	0.0	0.0	2012	-1	-1	0	4.0	0	8
@PHRASEasset bubble	2.0	0.0	0.0	2010	-1	-1	0	0.0	0	10
@PHRASEsystemicrisk	32.0	0.0	0.0	2010	-1	-1	0	7.0	0	10
@PHRASEcredit spread	3.0	0.0	0.0	2018	-1	-1	0	0.0	0	2
@PHRASEinsolvency	5.0	0.0	0.0	2016	-1	-1	0	1.0	0	4
@PHRASEmerton model	3.0	0.0	0.0	2014	-1	-1	0	0.0	0	6
@PHRASEinstrumental variable	6.0	0.0	0.0	2011	-1	-1	0	3.0	0	9
@PHRASEexposure	70.0	0.0	0.0	2006	-1	-1	0	10.0	0	14
@PHRASEbanking risk	3.0	0.0	0.0	2015	-1	-1	0	0.0	0	5
